Name,lat,lng
abc,33.68539172,130.4089588
abc,33.48245467,130.5269617
abc,33.70100767,130.7055866
abc,33.56775108,130.3488042
abc,33.18658239,130.4679771
abc,33.86026744,130.7836695
abc,33.32171742,130.508549
abc,33.31969297,130.5547706
abc,33.50980275,130.443819
abc,33.15922897,130.4814631
abc,33.51405358,130.4678582
abc,33.50097947,130.4873328
